RaceId,Season,StartDate,Location,DisciplineId,DisciplineLabel,GenderLabel,IsRelay,NrShootings,FullName,Shootings,RankInt,total_misses,total_penalties,total_spares,miss_1,miss_2,miss_3,miss_4,penalty_1,penalty_2,penalty_3,penalty_4
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Dmytro PIDRUCHNYI,0+3 0+2,6,5,0,5,3,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Alexia RUNGGALDIER,0+1 0+0,7,1,0,1,1,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Thomas BORMOLINI,0+0 0+0,7,0,0,0,0,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Alexia RUNGGALDIER,0+0 0+1,7,1,0,1,0,1,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Thomas BORMOLINI,0+3 0+1,7,4,0,4,3,1,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Victoria SLIVKO,0+0 0+2,8,2,0,2,0,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Matvei ELISEEV,0+2 0+0,8,2,0,2,2,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Victoria SLIVKO,0+1 0+0,8,1,0,1,1,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Matvei ELISEEV,0+2 0+1,8,3,0,3,2,1,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Hilde FENNE,0+2 1+3,9,6,1,5,2,4,NA,NA,0,1,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Lars Helge BIRKELAND,0+0 0+0,9,0,0,0,0,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Hilde FENNE,0+1 3+3,9,7,3,4,1,6,NA,NA,0,3,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Lars Helge BIRKELAND,0+2 0+0,9,2,0,2,2,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Jessica JISLOVA,0+0 0+2,10,2,0,2,0,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Michal SLESINGR,0+1 0+2,10,3,0,3,1,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Jessica JISLOVA,0+0 0+2,10,2,0,2,0,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Michal SLESINGR,0+2 0+1,10,3,0,3,2,1,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Iryna LESHCHANKA,0+2 0+0,11,2,0,2,2,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Anton SMOLSKI,0+2 0+1,11,3,0,3,2,1,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Iryna LESHCHANKA,0+0 0+0,11,0,0,0,0,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Anton SMOLSKI,0+3 0+2,11,5,0,5,3,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Fuyuko TACHIZAKI,0+1 0+3,12,4,0,4,1,3,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Mikito TACHIZAKI,0+3 0+1,12,4,0,4,3,1,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Fuyuko TACHIZAKI,0+0 0+0,12,0,0,0,0,0,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Mikito TACHIZAKI,0+2 0+2,12,4,0,4,2,2,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Ivona FIALKOVA,0+0 1+3,13,4,1,3,0,4,NA,NA,0,1,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Martin OTCENAS,0+0 0+1,13,1,0,1,0,1,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Ivona FIALKOVA,0+1 0+3,13,4,0,4,1,3,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Martin OTCENAS,0+2 0+3,13,5,0,5,2,3,NA,NA,0,0,NA,NA
BT1718SWRLCP01MXSR,1718,2017-11-26,Swedish National Biathlon Arena,SR,Single Mixed Relay,Mixed,TRUE,2,Magdalena GWIZDON,1+3 0+0,14,4,1,3,4,0,NA,NA,1,0,NA,NA
